codigo.situr;RIF.x;codigo.proyecto_2016;Estado;Municipio;Parroquia;Entidad;Nombre.Proyecto_2016;Sub.Categoria;Fecha.Creacion;Fecha.Inicio;Monto_2016;Área_2016;Kg_Estimados_2016;Area_Efectiva_2016(FONDAS);Kg_Arrimado_2016(FONDAS);;;;;
09-03-02-S78-0000;C299625264;CCO-16-08-03-00006;cojedes;girardot;sucre;la batea (sin nombre comercial);plan de siembra de cereales;cereales;23/05/2016;2016-06-22;143000000;1100;3850000;729;660180;;;;;
09-04-01-001-0001;J299371939;CCO-16-08-08-00006;cojedes;lima blanco;macapo;barrio colling (sin nombre comercial);construccion de 1 unidad de produccion de hortalizas en la comunidad del colling macapo municipio lima blanco;hortalizas;26/02/2016;2016-05-04;3600000;12;42000;0;0;;;;;
09-04-01-001-0002;C299309818;CCO-16-08-08-00001;cojedes;lima blanco;macapo;los mangos (sin nombre comercial);equipamiento y dotación para la producción agrícola del sector los mangos; municipio lima blanco; estado cojedes.;leguminosas;22/02/2016;Sin Fecha de Inicio;767545;62;3;10500;0;0;;
09-05-0006;J405508680;COM-16-08-04-00004;cojedes;pao de san juan bautista;el pao;libertadora manuelita saenz;siembra de leguminosas en los territorios de la comuna libertadora manuelita saenz;leguminosas;11/10/2016;2016-12-23;63000000;180;630000;0;0;;;;;
09-05-01-001-0015;C299083828;CCO-16-08-04-00031;cojedes;pao de san juan bautista;el pao;laya;siembra de maiz en el municipio pao.;cereales;31/03/2016;2016-06-15;8000000;100;350000;87;0;;;;;
09-05-01-001-0052;C299315990;CCO-16-08-04-00041;cojedes;pao de san juan bautista;el pao;la y (sin nombre comercial);socioproductivo de leguminosa de la comuna socialista maisanta;leguminosas;07/10/2016;2017-02-01;127924270;500;1750000;0;0;;;;;
09-05-01-001-0055;J299279900;CCO-16-08-04-00032;cojedes;pao de san juan bautista;el pao;las camasas;siembra de cereales en la comunidad las camasas municipio pao.;cereales;31/03/2016;2016-05-04;50000000;400;1400000;186;0;;;;;
09-05-01-001-0061;C299745073;CCO-16-08-04-00035;cojedes;pao de san juan bautista;el pao;el milagro (sin nombre comercial);plan de siembra de cereales(maiz blanco);cereales;13/04/2016;2016-07-20;15000000;100;350000;18;0;;;;;
09-05-01-063-0000;C299562653;CCO-16-08-04-00042;cojedes;pao de san juan bautista;el pao;mata palos (sin nombre comercial);siembra de leguminosas en el ámbito geográfico de la comuna comandante chávez del pao;leguminosas;10/10/2016;2016-12-23;48300000;138;483000;0;0;;;;;
09-06-01-001-0020;C299506567;CCO-16-08-05-00015;cojedes;ricaurte;libertad de cojedes;el jebito (sin nombre comercial);plan de siembra comunal 2016 de cereales en el rubro de maíz;cereales;14/04/2016;2016-06-02;28730000;221;773500;146;221000;;;;;
09-06-01-021-0000;J299215864;CCO-16-08-05-00022;cojedes;ricaurte;libertad de cojedes;genareão;siembra de leguminosas en el ambito geográfico de la comuna comandante eterno hugo chávez fría el arañero;leguminosas;04/10/2016;Sin Fecha de Inicio;35000000;100;350000;0;0;;;;;
09-06-01-P69-0000;C299229636;CCO-16-08-05-00023;cojedes;ricaurte;libertad de cojedes;caã±o hondo centro i;siembra de leguminosas en el ámbito geografico de la comuna zamora vive en tierras de ricaurte;leguminosas;06/10/2016;2016-12-27;52832723;51;206;5;722750;0;0;;;
09-06-01-R26-0000;C299339016;CCO-16-08-05-00003;cojedes;ricaurte;libertad de cojedes;zona de riego la chepera (sin nombre comercial);adquisición de implementos agrícolas para el fortalecimiento de la producción agroalimentaria en zona de riego la chepera ;cereales;29/02/2016;2016-05-04;7000000;1200;4200000;0;0;;;;;
09-06-01-R39-0000;C299259047;CCO-16-08-05-00024;cojedes;ricaurte;libertad de cojedes;genareão ii;siembra de leguminosas en el ámbito geográfico de la comuna comandante eterno hugo chávez frias el arañero;leguminosas;13/10/2016;2016-12-23;15095063;92;59;206500;0;0;;;;
09-07-01-D76-0000;J299405256;CCO-16-08-09-00033;cojedes;rómulo gallegos;rómulo gallegos;jardines de gabinero;siembra de leguminosas en el ámbito geografico de la comuna socialista simón rodriguez;leguminosas;07/10/2016;2017-01-17;12792427;50;175000;0;0;;;;;
09-07-01-P46-0000;J299528544;CCO-16-08-09-00018;cojedes;rómulo gallegos;rómulo gallegos;san marcos el charcote (sin nombre comercial);siembra de 900 hectarias de maiz blanco en el consejo comunal san marcos el charcote;cereales;14/04/2016;2016-06-02;135000000;900;3150000;477;325400;;;;;
09-07-01-P48-0001;J299283576;CCO-16-08-09-00027;cojedes;rómulo gallegos;rómulo gallegos;la yaguara de gabinero;plan de siembra de cereales(maiz blanco);cereales;31/05/2016;2016-06-22;65000000;500;1750000;294;237660;;;;;
09-07-01-Q84-0000;J299315001;CCO-16-08-09-00020;cojedes;rómulo gallegos;rómulo gallegos;el guasimo (sin nombre comercial);plan de siembra (370 ha. maíz blanco) en la comuna 4 de febrero de 1992; municipio rómulo gallegos y ricaurte; estado cojedes;cereales;28/04/2016;2016-06-08;55500000;370;1295000;217;516580;;;
09-07-01-Q88-0000;C299440442;CCO-16-08-09-00016;cojedes;rómulo gallegos;rómulo gallegos;virgen de coromoto pica 4 (sin nombre comercial);plan de siembra de cereales(maiz blanco);cereales;13/04/2016;2016-06-29;65000000;500;1750000;130;237660;;;;;
09-07-01-Q90-0000;J299204730;CCO-16-08-09-00034;cojedes;rómulo gallegos;rómulo gallegos;la yaguara;siembra de leguminosas en el territoria de la comuna los luchadores;leguminosas;31/10/2016;2016-12-27;149100000;426;1491000;0;0;;;;;
09-08-01-O13-0000;J299458490;CCO-16-08-06-00112;cojedes;san carlos;san carlos de austria;la mapora sector i (sin nombre comercial);siembra de 20 hectareas de maiz amarillo en el ambito geografico de la comuna 28 de julio comandante e.hugo chavez cojedes ;cereales;14/04/2016;2016-06-02;4000000;20;70000;1;0;;;;;
09-08-02-005-0000;J299213829;CCO-16-08-06-00017;cojedes;san carlos;juan angel bravo;campo alegre;siembra de leguminosas e insumos;leguminosas;23/02/2016;2016-12-07;5628667;9;22;77000;0;0;;;;
09-08-02-P01-0000;J299745421;CCO-16-08-06-00103;cojedes;san carlos;juan angel bravo;cerro el tigre;siembra de 10 hectareas de caraota en la comunidad de paraguito parroquia juan angel bravo la sierra del estado cojedes;leguminosas;21/03/2016;2016-12-23;2558485;5;10;35000;0;0;;;;
11-01-02-001-0015;J299802751;CCO-16-09-01-00002;falcón;acosta;capadare;milano;siembra de pimentón;hortalizas;11/03/2016;2016-12-07;9228106;11;4;14000;0;0;;;;
11-10-01-W97-0000;J299422584;CCO-16-09-08-00034;falcón;federación;churuguara;el renacer de la nueva santa lucia;siembra y cultivo de cinco hectárea de tomate;hortalizas;02/07/2016;2016-12-07;12582579;95;5;17500;0;0;;;;
12-01-02-001-0001;J299558702;CCO-16-10-08-00023;guárico;camaguán;puerto miranda;brisas de puerto miranda (sin nombre comercial);socio productivo  (hortalizas);hortalizas;30/07/2016;2017-01-17;37747739;84;15;52500;0;0;;;;
12-01-03-029-0000;J299416010;CCO-16-10-08-00014;guárico;camaguán;uverito;la hacienda;siembra de maiz blanco;cereales;04/05/2016;2016-06-15;45900000;170;595000;140;135020;;;;;
12-04-02-001-0002;J299491969;CCO-16-10-15-00070;guárico;san gerónimo de guayabal;cazorla;botalon garcitas;adquisición de ovejo  para la producción de carne en el sector garcitas.;cría y engorde de ovinos;08/03/2016;2016-05-11;5986982;58;NA;NA;0;0;;;;
12-04-02-050-0000;C299614009;CCO-16-10-15-00059;guárico;san gerónimo de guayabal;cazorla;la vigia guamachito;siembra de 50 hectarea de frijol  en el sector la vigia; municipio san gerónimo de guayabal del estado guárico.;leguminosas;01/03/2016;2016-04-22;5898534;87;50;175000;0;0;;;
12-05-0001;J403955956;COM-16-10-01-00004;guárico;leonardo infante;espino;rio espinito;plan de siembra 2016;raíces; tubérculos y cucurbitáceas;16/05/2016;2017-01-17;63581235;9;100;350000;0;0;;;
12-05-0004;J404011285;COM-16-10-01-00002;guárico;leonardo infante;valle de la pascua;comuna camilo cienfuegos (comuna camilo cienfuegos );siembra de 780 hectareas de maiz blanco;cereales;21/04/2016;2016-05-25;101400000;780;2730000;754;740680;;;;;
12-06-0000;J404341820;COM-16-10-10-00005;guárico;las mercedes;las mercedes;pedro perez delgado - maisanta;plan siembra de 1.000 hectareas de maíz blanco de la comuna perdro perez delgado municipio las mercedes ;cereales;11/03/2016;2016-06-02;120000000;1000;3500000;520;64100;;;;;
12-06-01-001-0008;C299303860;CCO-16-10-10-00048;guárico;las mercedes;las mercedes;la manga (sin nombre comercial);siembra de 200 hectáreas de leguminosa;leguminosas;21/07/2016;2017-01-17;70084639;3;200;700000;0;0;;;;
12-06-01-001-0023;J299303216;CCO-16-10-10-00026;guárico;las mercedes;las mercedes;el tacal los caros (sin nombre comercial);siembra de maìz blanco para la producciòn agrícola ;cereales;11/05/2016;2016-06-15;78000000;600;2100000;597;1058140;;;;;
12-06-01-001-0031;C299551325;CCO-16-10-10-00007;guárico;las mercedes;las mercedes;mariscal sucre;modulos de agricultura urbana;hortalizas;28/02/2016;2016-12-27;9228106;11;4;14000;0;0;;;;
12-06-01-001-0034;J317152697;CCO-16-10-10-00011;guárico;las mercedes;las mercedes;la entrada 2021;sistema de siembra de maiz amarillo por 500 hectarea norte verano;cereales;06/03/2016;2016-06-22;35000000;500;1750000;500;242140;;;;;
12-06-01-032-0000;J299418102;CCO-16-10-10-00012;guárico;las mercedes;las mercedes;san miguiel morillero;siembra de maiz 2016;cereales;10/03/2016;2016-06-29;22896000;540;1890000;270;82480;;;;;
12-06-01-044-0000;J299303518;CCO-16-10-10-00018;guárico;las mercedes;las mercedes;murianga;producción de maíz amarillo; ciclo 2016;cereales;30/03/2016;2016-04-22;64800000;480;1680000;480;455147;;;;
12-06-01-049-0001;J299303666;CCO-16-10-10-00029;guárico;las mercedes;las mercedes;jobo mocho - buena vista;siembra de 800 hectareas de maiz blanco en el sector rural jobo mocho buena vista;cereales;19/05/2016;2016-06-15;100000000;800;2800000;770;385020;;;;;
12-06-01-065-0000;J299034410;CCO-16-10-10-00021;guárico;las mercedes;las mercedes;el carmen;siembra de maìz blanco;cereales;26/04/2016;2016-05-25;78000000;600;2100000;497;265100;;;;;
12-06-01-074-0000;J299195456;CCO-16-10-10-00022;guárico;las mercedes;las mercedes;la porfia del gavilan;plan siembra sorgo 2016;cereales;05/05/2016;2016-06-15;52000000;400;1400000;0;0;;;;;
12-06-02-001-0002;C299291617;CCO-16-10-10-00010;guárico;las mercedes;cabruta;brisas del sur;siembra comunal de maiz;cereales;29/02/2016;2016-06-02;91800000;680;2380000;504;39820;;;;;
12-06-02-001-0014;J299254789;CCO-16-10-10-00057;guárico;las mercedes;cabruta;fuerzas armadas ii;siembra de leguminosas; con el fin de avastecer al estdo venezolano;leguminosas;21/08/2016;2017-01-17;105126958;95;300;1050000;0;0;;;
12-07-01-001-0020;J299533483;CCO-16-10-02-00004;guárico;julián mellado;el sombrero;asentamiento campesino masaguare;siembra de 1080 hectáreas de maíz blanco en el sector masaguare en el municipio julian mellado.;cereales;21/04/2016;2016-06-15;140400000;1080;3780000;1066;569920;;;;;
12-07-01-021-0000;J299330876;CCO-16-10-02-00002;guárico;julián mellado;el sombrero;campo llano;plan siembra de cereales 2016. maiz blanco consumo humano.;cereales;25/02/2016;2016-04-06;33600000;1200;4200000;120;156260;;;;;
12-07-02-001-0000;J299520136;CCO-16-10-02-00008;guárico;julián mellado;sosa;las lajitas (sin nombre comercial);sistema de produccion agricola.;cereales;11/05/2016;2016-06-15;24000000;200;700000;25;27840;;;;;
12-08-01-001-0023;J299500704;CCO-16-10-03-00059;guárico;francisco de miranda;calabozo;la vaca circuito ii (sin nombre comercial);siembra de 769 hectáreas de arroz por el consejo comunal la vaca circuito ii ;cereales;27/04/2016;2016-05-25;199940000;769;2691500;610;623560;;;;;
12-08-01-001-0037;J299722731;CCO-16-10-03-00048;guárico;francisco de miranda;calabozo;la floreña;siembra de 200 hectareas de arroz periodo invierno 2016.;cereales;31/03/2016;2016-04-22;53800000;200;700000;100;60500;;;;;
12-08-01-001-0043;J299502910;CCO-16-10-03-00088;guárico;francisco de miranda;calabozo;la franquera;siembra de 450 ha de arroz.;cereales;20/07/2016;2016-07-27;145800000;450;1575000;141;0;;;;;
12-08-01-001-0050;J299503177;CCO-16-10-03-00093;guárico;francisco de miranda;calabozo;herrera guariquito;siembra 450 hectareas de arros paddy ;cereales;20/07/2016;2016-07-27;145800000;450;1575000;250;258480;;;;;
12-08-01-001-0053;J299501239;CCO-16-10-03-00052;guárico;francisco de miranda;calabozo;luces de mocapra (sin nombre comercial);siembra de 769 hectáreas de arroz en el consejo comunal luces de mocapra ;cereales;12/04/2016;2016-05-11;199940000;769;2691500;719;1404740;;;;;
12-08-01-001-0066;J299500968;CCO-16-10-03-00017;guárico;francisco de miranda;calabozo;lecherito ii grupo ii;siembra de 600 hect. de arroz y adquisicion de 02 niveladoras agricolas;cereales;28/02/2016;2016-04-06;125846046;600;2100000;600;2010000;;;;;
12-08-01-001-0072;C317464060;CCO-16-10-03-00062;guárico;francisco de miranda;calabozo;lecherito iv;siembra de 600 arroz paddy en el sector lecherito iv; parroquia calabozo municipio francisco de miranda estado guárico. ;cereales;04/05/2016;2016-05-25;180000000;600;2100000;583;1283560;;;;
12-08-01-001-0087;C299782319;CCO-16-10-03-00061;guárico;francisco de miranda;calabozo;el palito caño hondo;siembra de 730 has. de arroz paddy en el sector la comuna productores de la patria;cereales;04/05/2016;2016-06-15;196370000;730;2555000;619;400060;;;;;
12-08-01-001-0104;J299195693;CCO-16-10-03-00090;guárico;francisco de miranda;calabozo;medanito chamisero (sin nombre comercial);siembra de 500 hectáreas de arroz paddy en el sector medanito chamicero de la parroquia calabozo del estado guarico;cereales;20/07/2016;2016-07-27;162000000;500;1750000;100;817740;;;;;
12-08-01-001-0119;J299572691;CCO-16-10-03-00016;guárico;francisco de miranda;calabozo;uverito pereño b 4-d;siembra de 500 hectareas de arroz y const. de galpon de almacenamiento de agroquimicos y fertilizantes sector uverito pereño ;cereales;27/02/2016;2016-04-06;106821705;500;1750000;500;1289800;;;;;
12-08-01-001-0133;J299799238;CCO-16-10-03-00051;guárico;francisco de miranda;calabozo;asentamiento campesino el tres;siembra de 769 hectáreas de arroz en el consejo comunal asentamiento campesino el tres ;cereales;12/04/2016;2016-05-11;199940000;769;2691500;589;1413460;;;;;
12-08-01-002-0000;J299257850;CCO-16-10-03-00054;guárico;francisco de miranda;calabozo;palo seco (sin nombre comercial);siembra de 400 hectareas de maiz blanco;cereales;13/04/2016;2016-05-11;52000000;400;1400000;230;424720;;;;;
12-08-01-020-0000;J405611812;CCO-16-10-03-00066;guárico;francisco de miranda;calabozo;el frio;siembra de 549 hectáreas de arroz en el sector el frió del municipio francisco de miranda del estado guárico.;cereales;13/05/2016;2016-06-15;164700000;549;1921500;465;817740;;;;;
12-08-01-024-0000;C299520861;CCO-16-10-03-00089;guárico;francisco de miranda;calabozo;lecherito i grupo i al 4;siembra de 400 has de arroz;cereales;20/07/2016;2016-07-27;129600000;400;1400000;300;91040;;;;;
12-08-01-025-0002;C299743780;CCO-16-10-03-00045;guárico;francisco de miranda;calabozo;lecherito v productores agropecuario;limpieza y conformacion de 12 km de canales de riego y drenaje para 800 ha. de arroz del consejo comunal ;cereales;30/03/2016;2016-04-22;8140202;86;800;2800000;60;0;;;;
12-08-01-025-0005;J400789656;CCO-16-10-03-00094;guárico;francisco de miranda;calabozo;lecherito 1-5;siembra de 250 ha de arroz en el sector lecherito 1-5;cereales;21/07/2016;2016-07-27;81000000;250;875000;27;38080;;;;;
12-08-01-026-0000;C299303879;CCO-16-10-03-00050;guárico;francisco de miranda;calabozo;los lorenzos (sin nombre comercial);siembra de 769 hectareas de arroz en el consejo comunal los lorenzos;cereales;12/04/2016;2016-05-11;199940000;769;2691500;724;1559240;;;;;
12-08-01-044-0001;C299503550;CCO-16-10-03-00091;guárico;francisco de miranda;calabozo;matetigre los jagueyes;siembra de 400 ha de arroz;cereales;20/07/2016;2016-07-27;129600000;400;1400000;313;869640;;;;;
12-08-01-048-0000;J299304050;CCO-16-10-03-00092;guárico;francisco de miranda;calabozo;tapicito (sin nombre comercial);siembra 300 hectareas de arroz paddy en el consejo comunal tapicito;cereales;20/07/2016;2016-07-27;97200000;300;1050000;60;85200;;;;;
12-08-01-064-0000;J299671290;CCO-16-10-03-00049;guárico;francisco de miranda;calabozo;concejo comunal vaca vieja (sin nombre comercial);siembra de 700 has de arroz en el sector vaca vieja de la comuna productores revolucionarios;cereales;01/04/2016;2016-04-22;188300000;700;2450000;669;869640;;;;;
12-08-04-001-0008;J317385705;CCO-16-10-03-00046;guárico;francisco de miranda;guardatinajas;pedro perez delgado maisanta;plan de siembra de maiz blanco 2016;cereales;30/03/2016;2016-04-22;91000000;700;2450000;0;0;;;;;
12-09-02-001-0001;J313960217;CCO-16-10-04-00037;guárico;josé tadeo monagas;lezama;la morita;siembra del cultivo de tomate en el sector la morita;parroquia san francisco javier de lezama; edo guárico;hortalizas;31/08/2016;2017-01-17;37747739;84;15;52500;0;0;;
12-10-03-001-0003;J299533327;CCO-16-10-12-00008;guárico;ortíz;san josé de tiznados;laguna de piedra i;siembra de maiz amarillo;cereales;18/03/2016;2016-04-22;67500000;500;1750000;306;467260;;;;;
12-11-0002;J405320699;COM-16-10-05-00003;guárico;josé félix ribas;san rafael de laya;juana la avanzadora layense;siembra de 800 ha de cultivo de sorgo.;cereales;26/04/2016;2016-06-22;96000000;800;2800000;280;35440;;;;;
12-11-0003;J405320680;COM-16-10-05-00004;guárico;josé félix ribas;san rafael de laya;heroina manuelita saenz;siembra de 1200 ha de sorgo.;cereales;26/04/2016;2016-07-20;144000000;1200;4200000;234;35440;;;;;
12-11-01-001-0002;J299633470;CCO-16-10-05-00031;guárico;josé félix ribas;tucupido;isla nueva (sin nombre comercial);siembra de 270 hectáreas de maíz amarillo; en la comunidad de isla nueva; municipio ribas; guarico.;cereales;13/04/2016;2016-05-11;32400000;270;945000;116;0;;
12-11-01-001-0022;J299302392;CCO-16-10-05-00026;guárico;josé félix ribas;tucupido;el caro barrio zaraza (sin nombre comercial);siembra de maiz amarillo en el sector comunal el caro barrio zaraza;cereales;08/04/2016;2016-05-11;33750000;250;875000;153;37790;;;;;
12-11-01-001-0024;J299860468;CCO-16-10-05-00033;guárico;josé félix ribas;tucupido;pascualero roblecito;plan de siembra: de 400 hectareas de maiz amarillo; en la comunidad rural pascualero; municipio jose felix ribas; guarico.;cereales;15/04/2016;2016-05-11;25000000;250;875000;80;45270;;
12-11-01-007-0000;J299833797;CCO-16-10-05-00028;guárico;josé félix ribas;tucupido;arenita;siembra de 250 hectareas de maiz amarillo ;cereales;11/04/2016;2016-05-11;32500000;250;875000;153;13040;;;;;
12-11-01-035-0000;J299302635;CCO-16-10-05-00024;guárico;josé félix ribas;tucupido;cuji negro;plan de siembra comunal 2500 hectareas de maiz amarillo ciclo invierno 2016- 2017; bajo la figura del consejo comunal cuji negro;cereales;12/03/2016;2016-06-22;200000000;2500;8750000;1131;679840;;;;
12-11-01-047-0000;J299493716;CCO-16-10-05-00047;guárico;josé félix ribas;tucupido;el medano (sin nombre comercial);plan de siembra de 250 hectareas de maiz; en la comunidad rural el medano; municipio ribas; guarico.;cereales;21/05/2016;2016-06-15;35000000;250;875000;92;48780;;
12-11-01-060-0000;J299683710;CCO-16-10-05-00042;guárico;josé félix ribas;tucupido;el guasdual;plan de siembra comunal  1000 hectareas de sorgo (consumo) para contribuir a la seguridad y soberanía agroalimentaria.;cereales;11/05/2016;2016-06-15;125000000;1000;3500000;70;0;;;;;
12-11-01-154-0000;J299650196;CCO-16-10-05-00041;guárico;josé félix ribas;tucupido;camacho (sin nombre comercial);plan de siembra: el mismo contempla la siembra de 220 has de sorgo; en la comunidad rural de camacho; municipio jose felix ribas;cereales;10/05/2016;2016-06-15;26400000;220;770000;220;0;;;
12-11-01-227-0000;J299743313;CCO-16-10-05-00036;guárico;josé félix ribas;tucupido;el venado;plan de siembra comunal 920 hectareas de maiz amarillo ciclo invierno 2016- 2017; para el impulso agroalimentario del pais;cereales;23/04/2016;2016-06-22;124200000;920;3220000;610;129860;;;;
12-11-01-D64-0000;J299830895;CCO-16-10-05-00025;guárico;josé félix ribas;tucupido;la trinidad (sin nombre comercial);siembra de 260 has de maiz amarillo en la comunidad la trinidad; municipio ribas del estado guarico.;cereales;08/04/2016;2016-05-11;39000000;260;910000;204;37460;;;;
12-11-02-001-0001;J299534552;CCO-16-10-05-00007;guárico;josé félix ribas;san rafael de laya;brisas de oriente;cultivo de 04 hectareas de hortalizas (cebolla).;hortalizas;17/02/2016;2016-05-04;2900000;4;14000;0;0;;;;;
12-11-02-001-0003;J299237388;CCO-16-10-05-00008;guárico;josé félix ribas;san rafael de laya;pueblo nuevo (sin nombre comercial);producción de 5 hectareas tomate en el sector pueblo nuevo de san rafael de laya; mumicipio ribas del estado guarico;hortalizas;17/02/2016;2016-04-27;2900000;5;17500;0;0;;;;
12-11-02-007-0000;J299730963;CCO-16-10-05-00030;guárico;josé félix ribas;san rafael de laya;las piedras;siembra de maiz amarillo en el sector comunal las piedras;cereales;13/04/2016;2016-05-11;33750000;250;875000;147;39250;;;;;
12-14-01-025-0000;J299399590;CCO-16-10-13-00017;guárico;santa maría de ipire;santa maría de ipire;acaprito;siembra de maiz amarillo;cereales;10/05/2016;2016-06-15;22100000;170;595000;111;12580;;;;;
12-14-01-107-0000;C299592510;CCO-16-10-13-00015;guárico;santa maría de ipire;santa maría de ipire;chaparrote;siembra de 200 ha de maiz amarillo en el sector chaparrote del municipio santa maria de ipire del estado guarico;cereales;14/04/2016;2016-05-11;27000000;200;700000;179;65020;;;;;
